[2024-06-26T10:38:47.928] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:08:47.928Z","Ip":"::1","Request_Url":"/InviteManagements/SellerSendInvite","Request_Body":{"InviteCategory":"Buyer","Seller":"667a582d0fab2d7b7da2955a","InviteType":"Existing","Mobile":"9074662332","BuyerCreditLimit":"80.0","BuyerPaymentCycle":"2","BuyerPaymentType":"Cheque","Business":"667a58610fab2d7b7da2955c","ContactName":"surya","Buyer":"667a590f0fab2d7b7da2955e","BuyerBusiness":"667a5a3f0fab2d7b7da29566"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T10:40:34.869] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:10:34.869Z","Ip":"::1","Request_Url":"/InviteManagements/SellerSendInvite","Request_Body":{"InviteCategory":"Buyer","Seller":"667a582d0fab2d7b7da2955a","InviteType":"Existing","Mobile":"9074662332","BuyerCreditLimit":"80.0","BuyerPaymentCycle":"2","BuyerPaymentType":"Cheque","Business":"667a58610fab2d7b7da2955c","ContactName":"surya","Buyer":"667a590f0fab2d7b7da2955e","BuyerBusiness":"667a5a3f0fab2d7b7da29566"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:21:51.587] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:51:51.586Z","Ip":"::1","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a","InviteId":"667ba6d70fab2d7b7da2967d"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:22:41.497] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:52:41.497Z","Ip":"::1","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a","InviteId":"667ba6d70fab2d7b7da2967d"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:24:25.882] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:54:25.882Z","Ip":"::1","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a","InviteId":"667ba6d70fab2d7b7da2967d"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:26:17.289] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:56:17.289Z","Ip":"::1","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a","InviteId":"667ba6d70fab2d7b7da2967d"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:29:25.545] [INFO] Info - {"From":"APP","Date":"2024-06-26T05:59:25.544Z","Ip":"::1","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a","InviteId":"667ba6d70fab2d7b7da2967d"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:33:43.253] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:03:43.253Z","Ip":"::1","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a","InviteId":"667ba6d70fab2d7b7da2967d"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:38:23.084] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:08:23.084Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:38:56.401] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:08:56.401Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CustomerManagement/CustomerDetails","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:38:56.408] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:08:56.408Z","Ip":"::ffff:172.16.1.91","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:38:59.406] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:08:59.406Z","Ip":"::ffff:172.16.1.91","Request_Url":"/InviteManagements/SellerAndBuyerInviteList","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller","Invite_Status":"Pending_Approval"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:39:07.857] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:09:07.857Z","Ip":"::ffff:172.16.1.91","Request_Url":"/InviteManagements/Invite_Reject","Request_Body":{"InviteId":"667ba6d70fab2d7b7da2967d","CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:39:07.868] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:09:07.868Z","Ip":"::ffff:172.16.1.91","Request_Url":"/InviteManagements/SellerAndBuyerInviteList","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller","Invite_Status":"Pending_Approval"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:39:07.876] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:09:07.876Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/Invite_BusinessDetailsList","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:39:08.289] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:09:08.288Z","Ip":"::ffff:172.16.1.91","Request_Url":"/HundiScoreManagement/ConnectedCustomerWithAdvancedFilter","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","Seller":""}},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:39:09.725] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:09:09.724Z","Ip":"::ffff:172.16.1.91","Request_Url":"/InviteManagements/SellerAndBuyerInviteList","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller","Invite_Status":"Pending_Approval"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-26T11:39:11.966] [INFO] Info - {"From":"APP","Date":"2024-06-26T06:09:11.965Z","Ip":"::ffff:172.16.1.91","Request_Url":"/InviteManagements/SellerAndBuyerInviteList","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller","Invite_Status":"Reject"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
